date,Up or Down
2019-10-21,0
2019-10-22,1
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-28,0
2019-10-30,1
2019-10-31,1
2019-11-01,0
2019-11-04,0
2019-11-05,0
2019-11-07,0
2019-11-08,0
2019-11-11,0
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,1
2019-11-18,1
2019-11-19,1
2019-11-25,0
2019-11-26,0
2019-12-04,0
2019-12-06,0
2019-12-09,0
2019-12-11,0
2019-12-12,1
2019-12-13,1
2019-12-17,1
2019-12-20,0
2019-12-24,0
2019-12-27,0
2020-01-06,1
2020-01-07,1
2020-01-09,1
2020-01-13,1
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-22,0
2020-01-24,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
